0,0,0,2,2,0,1,4.463746524,4.238051475,5.441758403,5.083154047,5.850517213,1,Taken,44.35592916,-1,2,0,42,No,No,No,Yes,No,No,No,No
1,1,0,1,2,0,1,5.356495829,5.08566177,6.530110083,6.099784856,7.020620656,1,Taken,0.751308242,-1,0,0,12,Yes,No,Yes,No,No,Yes,No,No
2,1,1,2,2,0,1,4.612538075,4.379319857,5.623150349,5.252592515,6.045534454,1,Taken,21.63137404,-1,1,4,34,No,No,No,No,Yes,No,No,No
3,1,2,0,2,2,1,2.263831016,2.14936765,2.759838935,2.577969365,2.967144809,1,Taken,16.90009733,-1,2,4,72,No,No,No,No,No,No,No,No
4,1,1,2,2,0,1,2.975831016,2.82536765,3.627838935,3.388769365,3.900344809,1,Taken,23.83469051,-1,1,3,52,No,No,No,No,No,Yes,No,No
5,1,3,0,2,0,1,0.611613553,0.580689272,0.745618769,0.696483523,0.801626077,1,Taken,57.06486328,-1,2,0,16,No,No,No,No,No,No,No,No
6,2,2,2,2,0,1,3.124622567,2.966636032,3.809230882,3.558207833,4.095362049,1,Taken,0.579990085,-1,0,5,52,No,Yes,No,Yes,No,Yes,No,No
7,0,0,1,1,2,1,2.529456363,2.401562502,3.083663095,2.88045396,3.315293088,1,Taken,7.263916191,-1,10,25,103,Yes,No,No,Yes,Yes,Yes,No,Yes
8,1,3,0,2,0,1,5.058912727,4.803125005,6.16732619,5.76090792,6.630586175,1,Taken,32.08874174,-1,1,0,11,No,No,No,No,No,No,No,No
9,1,1,0,2,0,3,2.09401101,1.988134049,2.552811176,2.384584448,2.744566116,3,Taken,25.8356291,-1,0,0,57,No,No,No,No,No,No,No,No
10,0,0,2,2,0,1,4.910121176,4.661856622,5.985934243,5.591469452,6.435568935,1,Taken,37.31077829,-1,10,30,16,Yes,Yes,No,No,No,No,No,No
11,0,0,1,1,2,0,5.802870481,5.509466917,7.074285923,6.608100261,7.605672377,0,0,0,-1,8,27,88,No,Yes,Yes,Yes,Yes,Yes,No,Yes
12,2,1,2,2,0,0,3.124622567,2.966636032,3.809230882,3.558207833,4.095362049,0,0,0,-1,1,2,42,No,Yes,No,No,No,No,No,No
13,1,1,2,2,2,0,5.058912727,4.803125005,6.16732619,5.76090792,6.630586175,0,0,0,-1,1,2,37,Yes,No,No,No,No,Yes,No,No
14,1,3,0,2,0,3,3.273414117,3.107904415,3.990622829,3.727646301,4.29037929,3,Taken_B,21.73881575,-1,0,0,12,No,No,No,No,No,No,No,No
15,1,1,2,2,0,0,2.529456363,2.401562502,3.083663095,2.88045396,3.315293088,0,0,0,-1,1,2,50,Yes,No,No,No,No,Yes,No,No
16,1,1,0,2,2,2,3.273414117,3.107904415,3.990622829,3.727646301,4.29037929,2,Taken,1.072519788,-1,1,0,45,No,No,No,No,No,No,No,No
